season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2025,1,LV,REG,2025_01_LV_NE,NE,24,34,362,1,1,4,-29,0,0,350,140,17,14.945327814546477,9.620190027988318,0,24,56,1,0,0,3,-7.367797683403163,0,24,33,362,1,0,0,350,140,17,20.02049292654674,0,0,40,2,34,6,18,1,4.0,11.0,9,1,0,4,0,0,0,0,0,0,0,0,0,9,77,5,1,13,3,96,2,3,1,0,51.0,0.6666666666666666,0,0,0,1,1,0,0,0,0,0,1,0,51;40,58,,91,58,0,2,2,0,0,1.0,0,0,0,0,0
2025,1,MIA,REG,2025_01_MIA_IND,IND,19,31,146,1,2,3,-13,1,1,234,79,9,-16.14256922087213,-6.79955453641953,1,12,78,0,0,0,3,4.07183802803047,0,19,31,146,1,0,0,234,79,9,-7.430538102882449,1,0,44,3,35,4,17,0,1.0,10.0,2,0,0,4,0,0,0,0,0,0,0,0,0,3,15,5,0,0,7,169,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0
2025,1,MIN,REG,2025_01_MIN_CHI,CHI,13,20,143,2,1,3,-9,0,0,117,68,5,-9.816290898994502,-3.2609406113624573,1,26,120,1,0,0,6,0.7950888272025622,0,13,20,143,2,0,0,117,68,5,-4.715521290014457,1,0,40,1,25,6,23,1,2.0,12.0,3,0,0,3,0,0,0,0,0,0,1,1,0,8,50,5,4,68,5,133,2,2,0,0,59.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,31;59,,,90,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,1,NE,REG,2025_01_LV_NE,LV,30,46,287,1,1,4,-11,1,0,353,114,15,-0.32563244291394744,2.388444874021742,0,18,60,0,0,0,2,-4.167519669630565,0,30,45,287,1,0,0,353,114,15,5.518519192161765,0,0,35,6,30,10,30,0,4.0,29.0,9,1,1,5,0,0,0,0,1,1,0,0,0,8,70,5,2,16,4,111,2,3,1,0,44.0,0.6666666666666666,0,0,1,1,0,0,0,0,0,1,0,0,35;44,40,,79,40,0,1,1,0,0,1.0,0,0,0,0,0
2025,1,NO,REG,2025_01_ARI_NO,ARI,27,46,214,0,0,1,-6,0,0,336,85,12,-3.9408611252955135,-4.9585028392512625,0,22,107,1,0,0,5,0.8023695741139818,0,27,41,214,0,0,0,336,85,12,2.3620505969803807,0,0,42,1,27,7,36,0,5.0,33.0,5,0,0,5,0,0,0,0,0,0,0,0,0,13,89,3,2,18,5,128,2,3,1,0,36.0,0.6666666666666666,0,1,1,0,0,0,0,0,1,0,0,0,36;28,37,,64,37,0,1,1,0,0,1.0,0,0,0,0,0
2025,1,NYG,REG,2025_01_NYG_WAS,WAS,17,37,168,0,0,2,-11,0,0,226,84,9,-11.39383654077999,-13.457901123911142,0,23,74,0,1,0,4,-3.555864180030767,0,17,32,168,0,0,0,226,84,9,-4.414557021158243,0,0,31,1,39,3,14,0,3.0,21.0,5,0,0,3,0,0,0,0,1,1,0,0,0,6,35,5,3,24,2,41,2,2,0,0,55.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,21;55,,,76,0,0,0,0,0,0,,0,0,0,0,0
2025,1,NYJ,REG,2025_01_PIT_NYJ,PIT,16,22,218,1,0,1,-6,0,0,169,76,9,10.05393822364579,10.396403358096169,0,39,182,3,0,0,13,3.5124690002818104,0,16,21,218,1,0,0,169,76,9,12.384196756276769,0,0,33,0,30,7,34,2,4.0,26.0,7,0,0,4,0,0,0,0,0,0,0,0,0,7,74,4,2,19,7,206,2,2,0,0,51.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,35;51,,,86,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,1,PHI,REG,2025_01_DAL_PHI,DAL,19,23,152,0,0,1,-8,0,0,112,61,6,1.5907520360172063,21.806308776140213,0,38,158,3,0,0,14,6.04487540962873,0,19,20,152,0,0,0,112,61,6,5.758010305403572,0,0,32,2,26,3,8,1,0.0,0.0,1,0,0,6,0,0,0,0,0,0,1,1,0,9,110,3,0,0,2,32,1,1,0,0,58.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,58,,,58,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,1,PIT,REG,2025_01_PIT_NYJ,NYJ,22,30,244,4,0,4,-26,0,0,139,173,14,10.20475524963341,6.350380901632638,0,20,53,0,1,0,2,-3.0508692141156644,0,22,29,244,4,0,0,139,173,14,16.357469686740032,0,0,45,5,25,6,20,1,1.0,6.0,6,0,0,4,0,0,0,0,2,2,1,1,0,4,26,4,0,0,6,165,2,2,0,0,60.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,56;60,,,116,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,1,SEA,REG,2025_01_SF_SEA,SF,16,23,150,0,0,1,-4,1,1,197,47,7,-6.831034911036733,7.339647954160517,0,26,84,1,0,0,6,-2.973436875258346,0,16,22,150,0,2,1,197,47,7,-5.419835606412272,0,0,43,4,38,7,22,0,1.0,12.0,8,2,7,4,0,0,0,8,0,0,0,0,0,4,30,5,1,12,2,59,2,2,0,0,48.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,48;37,,,85,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,1,SF,REG,2025_01_SF_SEA,SEA,26,35,277,2,2,1,-12,0,0,260,121,15,13.329884157278123,15.341458162840675,0,36,119,0,0,0,7,-5.458840667270124,0,26,34,277,2,0,0,260,121,15,16.50143826356578,0,0,36,1,19,7,21,2,1.0,4.0,2,0,0,3,0,1,0,0,1,1,2,2,0,9,61,2,4,39,2,40,1,3,1,1,32.0,0.3333333333333333,0,0,1,0,0,0,0,1,0,0,0,0,32,27,36,32,27,36,2,2,0,0,1.0,0,0,0,0,0
2025,1,TB,REG,2025_01_TB_ATL,ATL,17,32,167,3,0,1,-8,0,0,334,45,10,5.766234403595268,-10.401313503583273,0,23,101,0,0,0,6,0.5059995500487275,0,17,30,167,3,0,0,334,45,10,7.285032267335742,0,0,41,2,34,7,18,0,1.0,9.0,4,0,0,6,0,0,0,0,0,0,0,0,0,5,60,5,1,54,3,81,1,2,1,0,48.0,0.5,0,0,0,1,0,0,0,0,0,1,0,0,48,44,,48,44,0,2,3,1,0,0.6666666666666666,0,0,0,0,0
2025,1,TEN,REG,2025_01_TEN_DEN,DEN,12,28,112,0,0,6,-50,1,1,294,64,5,-13.389458418787804,-12.597031831741333,0,21,71,0,1,1,2,-9.17674626053992,0,12,25,112,0,0,0,294,64,5,-0.8734515384421684,0,0,43,3,29,4,15,1,1.0,10.0,5,2,16,5,0,0,0,0,0,0,2,2,0,13,131,5,1,12,4,144,4,4,0,0,50.0,1.0,0,0,2,1,1,0,0,0,0,0,0,0,50;33;42;35,,,160,0,0,0,0,0,0,,0,0,0,0,0
2025,1,WAS,REG,2025_01_NYG_WAS,NYG,19,30,233,1,0,3,-21,0,0,279,97,11,1.364757596165873,-1.2890843481853091,0,32,220,2,0,0,11,7.834049331839196,0,19,29,233,1,0,0,279,97,11,8.10985203704331,0,0,31,2,28,7,19,1,2.0,11.0,8,0,0,7,0,0,0,0,0,0,0,0,0,12,89,6,2,0,3,86,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,2,ARI,REG,2025_02_CAR_ARI,CAR,17,25,220,1,1,1,-9,0,0,160,113,10,6.139767758614543,0.763731837272644,0,22,82,1,0,0,5,-0.17023573273456716,0,17,25,220,1,0,0,160,113,10,8.406594365901473,0,0,44,2,30,6,33,1,3.0,25.0,10,1,4,9,0,0,0,0,0,0,1,1,1,12,96,3,1,29,4,87,2,2,0,0,47.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,29;47,,,76,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,2,ATL,REG,2025_02_ATL_MIN,MIN,13,21,135,0,0,3,-27,0,0,132,59,5,-3.2441715903873147,-7.450161519504729,0,39,218,1,0,0,12,6.12384862778179,0,13,21,135,0,1,1,132,59,5,-3.902174276492052,0,0,29,0,28,5,29,1,6.0,38.0,11,2,0,4,0,0,0,0,0,0,2,2,0,5,29,4,0,0,1,21,5,5,0,0,54.0,1.0,0,1,3,0,1,0,0,0,0,0,0,0,38;29;33;33;54,,,187,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,2,BAL,REG,2025_02_CLE_BAL,CLE,19,29,225,4,0,3,-28,0,0,273,66,10,9.342703126255497,6.713613335575376,0,21,45,0,1,0,2,-3.0972603702684864,0,19,28,225,4,0,0,273,66,10,14.27283746581341,0,0,41,3,27,7,22,1,2.0,11.0,9,1,61,5,0,0,0,5,1,1,1,1,1,6,28,4,1,23,3,79,2,2,0,0,43.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,43;32,,,75,0,0,5,5,0,0,1.0,0,0,0,0,0
2025,2,BUF,REG,2025_02_BUF_NYJ,NYJ,15,27,180,0,0,1,-1,0,0,146,105,9,0.27227155733545283,-9.081467151641846,0,43,224,3,1,0,12,9.725426063800747,0,15,25,180,0,0,0,146,105,9,4.454938826183033,0,0,31,2,20,5,37,3,4.0,29.0,7,0,0,4,0,0,0,0,1,1,1,1,0,6,69,4,4,22,2,47,3,3,0,0,52.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,28;52;33,,,113,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,2,CAR,REG,2025_02_CAR_ARI,ARI,35,55,328,3,1,3,-25,1,1,375,150,19,3.2342329092731377,-2.3493665006925477,0,19,49,0,0,0,4,-4.658607418095693,0,35,53,328,3,0,0,375,150,19,14.799765814730213,0,0,31,1,23,4,17,0,1.0,9.0,4,1,0,5,0,0,0,0,0,0,0,0,0,7,83,5,1,12,5,113,1,1,0,0,27.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,27,,,27,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,2,CHI,REG,2025_02_CHI_DET,DET,21,33,234,2,1,4,-29,0,0,337,87,11,-0.06921279421658255,-5.17697867118951,0,27,134,1,2,1,8,-10.55241193177062,0,21,33,234,2,0,0,337,87,11,6.598584875202505,0,0,38,4,24,4,15,0,0.0,0.0,4,0,0,0,0,0,0,0,1,1,0,0,0,8,50,1,2,16,8,215,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,2,CIN,REG,2025_02_JAX_CIN,JAX,28,45,317,3,3,3,-15,0,0,360,131,17,-1.8282178881594828,2.383185957753381,0,17,48,1,0,0,5,1.3624283743847627,0,28,43,317,3,0,0,360,131,17,3.907746543850013,0,0,43,0,26,2,14,0,1.0,10.0,4,2,4,8,0,0,0,0,0,0,0,0,0,3,29,3,1,11,6,154,1,1,0,0,31.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,31,,,31,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,2,CLE,REG,2025_02_CLE_BAL,BAL,28,48,218,2,1,2,-11,1,1,312,96,10,-23.316518904513376,-0.20086452728364526,0,22,115,0,0,0,7,4.384331928042229,0,28,41,218,2,0,0,312,96,10,-7.277298573160242,0,0,25,3,29,5,25,1,3.0,28.0,5,0,0,5,0,0,0,0,0,0,0,0,0,6,42,2,1,0,5,94,1,1,0,0,38.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,38,,,38,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,2,DAL,REG,2025_02_NYG_DAL,NYG,38,52,361,2,1,3,-18,0,0,350,147,18,10.098487662582055,2.1017412153574138,0,28,135,2,1,0,9,0.9983154268064145,0,38,52,361,2,0,0,350,147,18,14.754545577598037,0,0,37,1,43,4,21,0,2.0,14.0,6,1,0,2,0,0,0,0,1,2,0,0,0,12,106,7,1,2,9,209,4,4,0,0,64.0,1.0,0,0,0,2,1,1,0,0,0,0,0,0,51;44;64;46,,,205,0,0,4,4,0,0,1.0,1,1,0,0,46
2025,2,DEN,REG,2025_02_DEN_IND,IND,22,30,206,3,1,0,0,0,0,147,123,11,8.345343489918493,0.9910997748374939,0,24,118,1,0,0,7,2.0129898277227767,0,22,30,206,3,0,0,147,123,11,8.345343489918493,0,0,43,0,36,3,17,0,1.0,10.0,6,0,0,5,0,0,0,0,0,0,0,0,0,8,83,3,0,0,5,122,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,42,,0,42,0,4,4,0,0,1.0,0,0,0,0,0
2025,2,DET,REG,2025_02_CHI_DET,CHI,23,28,334,5,0,0,0,0,0,274,165,15,24.103420304085986,14.942416335855212,0,30,177,2,0,0,10,-0.35298650549658195,0,23,28,334,5,0,0,274,165,15,24.103420304085986,0,0,45,1,25,5,30,1,4.0,29.0,4,1,0,5,0,0,0,0,0,0,1,1,0,3,28,3,3,19,2,48,1,2,1,0,34.0,0.5,0,0,1,0,0,0,0,0,0,0,1,0,34,55,,34,55,0,7,7,0,0,1.0,0,0,0,0,0
2025,2,GB,REG,2025_02_WAS_GB,WAS,19,31,292,2,0,2,-23,0,0,408,130,14,6.662380209949733,10.36571275304865,0,30,135,1,0,0,6,1.2424638609575576,0,19,27,292,2,0,0,408,130,14,13.83899421448368,0,0,42,0,18,3,10,0,4.0,21.0,12,0,0,8,0,0,0,0,0,0,0,0,0,10,77,2,3,1,2,57,2,3,1,0,56.0,0.6666666666666666,0,1,0,0,1,0,0,0,0,1,0,0,22;56,48,,78,48,0,3,3,0,0,1.0,0,0,0,0,0
2025,2,HOU,REG,2025_02_TB_HOU,TB,13,24,207,1,0,3,-25,0,0,195,124,7,-4.481482616525894,-9.786830648131993,0,19,84,1,0,0,3,1.4734649395104498,0,13,23,207,1,0,0,195,124,7,3.6956396692527402,0,0,50,3,15,6,26,1,4.0,24.0,6,0,0,3,0,0,0,1,0,0,0,0,0,6,45,2,3,67,4,107,2,2,0,0,53.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,35;53,,,88,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,2,IND,REG,2025_02_DEN_IND,DEN,23,34,316,1,0,1,-10,0,0,329,131,16,10.95338626059685,4.9739260565150865,0,32,167,1,0,0,6,-0.8950309250502064,0,23,33,316,1,0,0,329,131,16,13.859342705660016,0,0,34,2,22,5,8,0,0.0,0.0,0,1,0,4,0,0,0,0,0,0,0,0,0,11,68,4,2,4,5,140,5,5,0,0,45.0,1.0,0,2,2,1,0,0,0,0,0,0,0,0,29;33;36;28;45,,,171,0,0,2,2,0,0,1.0,1,1,0,0,45
2025,2,JAX,REG,2025_02_JAX_CIN,CIN,24,42,271,3,2,1,-10,0,0,308,153,15,5.005488552057198,-4.982346514376198,0,27,139,0,1,0,6,1.5001768789282717,0,24,41,271,3,0,0,308,153,15,5.674372815576628,0,0,37,2,24,6,19,0,3.0,15.0,9,3,73,12,0,0,0,0,1,1,0,0,0,6,55,5,2,19,4,101,2,2,0,0,42.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,42;25,,,67,0,0,3,3,0,0,1.0,0,0,0,0,0
